Threshold,Accuracy,Precision,Recall,F1
0.1,0.6048329779673063,0.39775280898876403,0.946524064171123,0.560126582278481
0.15000000000000002,0.6474769012082445,0.4239401496259352,0.9090909090909091,0.5782312925170068
0.20000000000000004,0.6922530206112296,0.45839210155148097,0.8689839572192514,0.6001846722068329
0.25000000000000006,0.7199715707178393,0.48412698412698413,0.8155080213903744,0.6075697211155379
0.30000000000000004,0.744136460554371,0.5126353790613718,0.7593582887700535,0.6120689655172413
0.3500000000000001,0.7661691542288557,0.5454545454545454,0.7219251336898396,0.6214039125431531
0.40000000000000013,0.783226723525231,0.5778781038374717,0.6844919786096256,0.6266829865361077
0.4500000000000001,0.7917555081734187,0.6035805626598465,0.6310160427807486,0.6169934640522876
0.5000000000000001,0.8052594171997157,0.6515151515151515,0.5748663101604278,0.6107954545454546
0.5500000000000002,0.7995735607675906,0.6703703703703704,0.4839572192513369,0.562111801242236
0.6000000000000002,0.7882018479033405,0.6792452830188679,0.3850267379679144,0.49146757679180886
0.6500000000000001,0.7746979388770433,0.6862745098039216,0.2807486631016043,0.3984819734345351
0.7000000000000002,0.7647476901208244,0.7590361445783133,0.16844919786096257,0.27571115973741794
0.7500000000000002,0.7476901208244492,0.7878787878787878,0.06951871657754011,0.12776412776412777
0.8000000000000003,0.738450604122246,0.875,0.01871657754010695,0.03664921465968586
0.8500000000000003,0.7341862117981521,0.0,0.0,0.0
