Model,Accuracy,Churn Recall,Churn F1
Logistic Regression,0.8038379530916845,0.5721925133689839,0.6079545454545454
Logistic Regression Balanced,0.7263681592039801,0.7967914438502673,0.6075433231396534
Random Forest,0.7718550106609808,0.660427807486631,0.6061349693251534
Gradient Boosting,0.7960199004975125,0.5294117647058824,0.5797950219619327
